Përshkrimi i Sektorit,Komuna,Statusi i Regjistrimit,Përshkrimi i Gjobave në bazë të Ligjit,Numri i Tatimpaguesve,Numri i Gjobave të Lëshuara,Vlera e Gjobave të Lëshuara,muaji
8,27,4,41,1,1,250.0,0
8,27,4,37,1,1,250.0,0
8,26,18,36,1,1,500.0,0
17,9,4,38,1,1,1250.0,0
17,9,4,36,1,1,1250.0,0
17,10,4,38,1,1,1000.0,0
17,5,4,38,1,1,250.0,0
17,1,18,41,1,1,250.0,0
17,1,18,37,1,1,250.0,0
17,2,4,31,1,1,500.0,0
17,27,18,39,1,1,1000.0,0
17,27,4,37,1,1,125.0,0
17,27,4,38,1,1,250.0,0
17,27,4,39,1,1,1500.0,0
17,27,4,36,1,1,1500.0,0
17,27,5,37,1,1,125.0,0
17,33,18,39,1,1,2000.0,0
17,35,18,39,1,1,1000.0,0
17,35,4,39,1,1,1000.0,0
17,26,18,39,1,1,2000.0,0
17,3,18,39,1,1,2000.0,0
17,3,18,36,1,1,2000.0,0
17,3,4,38,1,1,1000.0,0
17,3,4,36,1,1,1000.0,0
18,24,16,53,1,1,2000.0,0
18,24,16,36,1,1,1000.0,0
18,34,16,37,1,1,125.0,0
18,34,16,39,1,1,1000.0,0
18,13,16,41,1,1,125.0,0
18,5,16,41,2,2,875.0,0
18,5,16,52,1,1,3000.0,0
18,5,16,53,1,1,2000.0,0
18,5,16,36,2,2,1000.0,0
18,2,16,48,1,1,274.35,0
18,2,16,41,1,1,1000.0,0
18,27,16,37,1,1,125.0,0
18,27,16,52,1,1,3000.0,0
18,35,16,41,1,1,125.0,0
18,26,16,48,1,2,1413.76,0
18,26,16,37,1,2,885.38,0
18,26,16,38,1,1,250.0,0
18,26,16,39,3,3,4000.0,0
18,26,16,52,2,2,6000.0,0
18,26,16,53,2,2,4000.0,0
18,3,16,39,1,1,1000.0,0
16,27,12,37,1,1,875.0,0
16,27,12,38,1,1,875.0,0
16,35,12,41,1,1,250.0,0
16,35,12,37,1,1,250.0,0
16,19,4,48,1,1,419.39,0
16,19,4,41,1,1,419.39,0
13,12,18,37,1,1,125.0,0
14,24,18,38,1,1,250.0,0
14,34,18,36,1,1,500.0,0
14,9,18,38,1,1,500.0,0
14,9,4,36,1,1,1000.0,0
14,5,18,39,1,1,1000.0,0
14,16,4,38,1,1,250.0,0
14,30,4,37,1,1,125.0,0
14,1,4,41,1,1,250.0,0
14,1,4,37,1,1,250.0,0
14,2,18,37,2,2,1250.0,0
14,2,18,38,2,2,1250.0,0
14,2,4,48,1,1,425.0,0
14,2,4,41,1,1,425.0,0
14,2,4,38,1,1,750.0,0
14,4,18,39,1,1,1000.0,0
14,27,18,41,1,1,125.0,0
14,27,18,38,1,1,250.0,0
14,27,18,39,3,4,8500.0,0
14,27,18,36,1,1,2500.0,0
14,27,4,41,1,1,125.0,0
14,28,18,39,1,1,2000.0,0
14,28,4,41,1,1,125.0,0
14,25,4,41,1,1,250.0,0
14,33,18,39,1,1,1500.0,0
14,33,18,36,2,2,2000.0,0
14,35,4,41,1,1,125.0,0
14,7,18,41,1,1,500.0,0
14,19,18,41,1,1,125.0,0
14,19,4,37,1,1,125.0,0
14,26,4,41,2,2,375.0,0
14,26,4,37,1,1,125.0,0
14,32,4,38,1,1,500.0,0
14,3,4,41,1,1,250.0,0
14,3,4,37,1,1,250.0,0
15,16,18,41,1,1,500.0,0
15,25,4,37,1,1,2250.0,0
15,25,4,39,1,1,2250.0,0
15,26,4,37,1,1,1000.0,0
15,26,4,38,1,1,1000.0,0
20,27,4,38,1,1,500.0,0
20,33,18,36,1,1,500.0,0
20,26,18,38,1,1,250.0,0
